index_redacao,score,c1,c2,c3,c4,c5,pred_c1,pred_c2,pred_c3,pred_c4,pred_c5,pred_total,ok,modelo,modo,ts,raw
42,400,80,80,80,80,80,40.0,40.0,40.0,40.0,0.0,160.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:36:01+00:00,"C1: O texto apresenta inúmeros desvios gramaticais graves, como problemas recorrentes de pontuação, emprego incorreto de crase, falhas de concordância e regência, além de problemas estruturais na construção das frases que comprometem a modalidade escrita formal. || C2: A redação apresenta um caráter extremamente precário na aplicação do tipo textual dissertativo-argumentativo, com frases fragmentadas, ausência de projeto de texto claro e desenvolvimento superficial do tema. || C3: O texto aprese"
49,400,80,80,80,80,80,80.0,120.0,80.0,80.0,0.0,360.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:37:08+00:00,"C1: O texto apresenta desvios gramaticais medianos e recorrentes, como erros de concordância ('é notório a existência'), falhas pontuais de pontuação e problemas de regência e estrutura sintática, revelando domínio mediano da norma culta. || C2: A redação apresenta o tipo textual dissertativo-argumentativo, com tese e proposta de intervenção, desenvolvendo o tema dentro do recorte exigido. No entanto, há trechos com características de diálogo direto ou questionamentos retóricos excessivos, além "
50,400,80,80,80,80,80,80.0,120.0,120.0,120.0,120.0,560.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:37:41+00:00,"C1: O texto apresenta desvios gramaticais medianos, destacando-se falhas de pontuação (como vírgulas separando sujeito e predicado e antes de orações coordenadas), problemas de concordância e emprego inadequado de crase ('à deriva', 'à decisão'). Além disso, há inadequações sintáticas e de paralelismo ao longo dos parágrafos, revelando domínio mediano da norma culta. || C2: O texto apresenta o tema da reforma do Ensino Médio e desenvolve o tipo dissertativo-argumentativo com uma estrutura comple"
54,440,80,120,80,80,80,80.0,120.0,80.0,80.0,40.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:38:12+00:00,"C1: O texto apresenta desvios gramaticais medianos e recorrentes, como inadequações na regência ('No que se refere, a A'), repetições e erros de concordância ('maiores acesso acessos', 'mais respeitos respeito'). Há também falhas na pontuação (vírgula separando sujeito e predicado) e problemas de estruturação sintática que comprometem a fluidez da modalidade escrita formal. || C2: O texto apresenta o tema da apropriação cultural no Carnaval de forma mediana, sustentando um viés dissertativo-argu"
57,440,80,120,80,80,80,120.0,120.0,80.0,80.0,0.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:38:55+00:00,"C1: O texto apresenta estrutura sintática predominantemente boa, mas contém desvios pontuais de acentuação ('Pelo contrario', 'estar', 'publica', 'prospero', 'politico', 'glria'), pontuação inadequada (como o ponto final antes da interrogação no último parágrafo) e problemas de concordância e regência ('toda as sociedades', 'ficar a frente'). O registro é predominantemente formal, mas com marcas de oralidade e repetições que revelam domínio mediano da norma culta. || C2: O texto apresenta o tema"
61,480,80,120,80,80,120,120.0,120.0,80.0,120.0,120.0,560.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:40:00+00:00,"C1: O texto apresenta estrutura sintática produtiva e desvios gramaticais medianos, como erros pontuais de ortografia ('cidadões', 'confúncio'), acentuação ('possue', 'se quer'), pontuação inadequada (vírgulas separando sujeito e predicado) e concordância ('faz-se altamente necessários'). O registro é predominantemente formal, mas com deslizes que impedem notas mais altas. || C2: A redação apresenta o tipo textual dissertativo-argumentativo, com tese, desenvolvimento e proposta de intervenção. O"
65,480,80,80,120,120,80,40.0,40.0,80.0,80.0,40.0,280.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:40:22+00:00,"C1: O texto apresenta inúmeros desvios gramaticais graves, como problemas de concordância ('muito dos jovens', 'que já podiam estar se formando,estão'), pontuação incorreta que prejudica a fluidez, regência inadequada e falhas na estrutura sintática, revelando domínio precário da modalidade escrita formal. || C2: O texto apresenta um domínio precário do tipo textual dissertativo-argumentativo, caracterizando-se predominantemente por traços de um gênero injuntivo/propositivo na conclusão e por um"
66,520,80,120,80,120,120,120.0,120.0,80.0,120.0,0.0,440.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:41:56+00:00,"C1: O texto apresenta estrutura sintática mediana e bom domínio do registro formal, mas com desvios pontuais de pontuação (como a vírgula inadequada antes de 'que' e o uso incorreto da crase em 'a carência') e concordância/regencia no trecho 'É necessário uma reforma'. || C2: O texto apresenta o tipo dissertativo-argumentativo, com introdução, desenvolvimento e conclusão, e aborda o tema da valorização do professor no Brasil sem tangenciamento. No entanto, o repertório sociocultural é ausente ou"
72,520,80,120,120,80,120,120.0,120.0,120.0,120.0,160.0,640.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:42:13+00:00,"C1: O texto apresenta estrutura sintática mediana e bom domínio do registro formal, com desvios pontuais de pontuação, como a ausência de vírgulas antes de orações adjetivas e problemas no paralelismo sintático. Há também pequenos deslizes de concordância e regência, caracterizando um desempenho medianamente aceitável para os padrões do ENEM. || C2: A redação apresenta o tema da automedicação e desenvolve o texto utilizando o tipo textual dissertativo-argumentativo, contendo introdução, desenvol"
75,560,80,120,120,160,80,0.0,40.0,0.0,0.0,0.0,40.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:42:52+00:00,"C1: A redação apresenta fragmentação sintática extrema, ausência total de pontuação adequada e múltiplos erros graves de concordância, regência, ortografia e estruturação frasal, impedindo a compreensão do texto e revelando desconhecimento absoluto da modalidade escrita formal. || C2: A redação apresenta um texto extremamente precário, com graves desvios gramaticais que comprometem a estrutura dissertativo-argumentativa e a compreensão da proposta. Há forte presença de trechos desconexos, ausênc"
79,680,80,120,120,160,200,120.0,120.0,120.0,120.0,120.0,600.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:43:36+00:00,"C1: A redação apresenta estrutura sintática predominantemente produtiva, mas contém desvios gramaticais pontuais, como a vírgula incorreta separando o sujeito do predicado no primeiro parágrafo e falhas de concordância e regência ao longo do texto. O registro é formal, com alguns deslizes na pontuação e na escolha lexical. || C2: A redação apresenta o tipo dissertativo-argumentativo, com tese e desenvolvimento voltados ao tema do esporte, embora contenha imprecisões históricas (como citar guerra"
80,680,80,120,120,160,200,40.0,120.0,80.0,40.0,120.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:43:53+00:00,"C1: A redação apresenta múltiplos e graves desvios gramaticais e estruturais, destacando-se o uso recorrente e inadequado da conjunção 'pós' no lugar de 'pois', problemas graves de pontuação (períodos excessivamente longos e fragmentados), além de falhas severas de concordância, regência e escolha de registro. || C2: O texto apresenta o tema da importância e dos desafios do acesso ao esporte (favelas e pessoas com deficiência) e utiliza o tipo dissertativo-argumentativo, contudo, há trechos com "
83,240,120,40,40,40,0,40.0,40.0,40.0,40.0,0.0,160.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:44:24+00:00,"C1: O texto apresenta precário domínio da modalidade escrita formal, com graves desvios gramaticais, como problemas de pontuação, concordância inadequada, ortografia incorreta ('destribuindo') e falhas graves na estrutura sintática e na escolha de registro. || C2: O texto apresenta um desenvolvimento precário do tipo textual dissertativo-argumentativo, caracterizando-se predominantemente por traços de um relato de opinião e de transcrições mal estruturadas. Além disso, há forte tendência ao tang"
84,240,120,40,40,40,0,80.0,80.0,40.0,80.0,40.0,320.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:44:56+00:00,"C1: O texto apresenta desvios gramaticais medianos com falhas, destacando-se problemas graves de pontuação (períodos muito longos e truncados), falhas de concordância ('temos nos deparados', 'todos... desconhecia') e inadequações na estrutura sintática. || C2: O texto apresenta o tema do suicídio, mas falha gravemente na aplicação do tipo textual dissertativo-argumentativo, pois apoia-se excessivamente na narração de casos particulares e informais. Há traços de projeto de texto rudimentar, mas a"
86,280,120,80,0,0,80,120.0,120.0,80.0,80.0,0.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:45:16+00:00,"C1: O texto apresenta estrutura sintática mediana e boa compreensão da norma culta, mas com desvios pontuais de pontuação, como a ausência de vírgulas obrigatórias, e certa informalidade na escolha de registro. Observam-se também pequenos problemas de paralelismo e coesão gramatical ao longo dos parágrafos. || C2: O texto apresenta o tema das fake news e sustenta a estrutura dissertativo-argumentativa, ainda que com um repertório sociocultural predominantemente autoral ou de senso comum e uma ar"
88,360,120,80,40,80,40,120.0,120.0,120.0,80.0,0.0,440.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:46:20+00:00,"C1: O texto apresenta estrutura sintática predominantemente boa, mas com desvios pontuais na pontuação (como a ausência de vírgulas obrigatórias após adjuntos adverbiais deslocados) e pequenos problemas de concordância e regência. O registro formal é mantido em linhas gerais, embora haja marcas de oralidade e construções frasais truncadas, como o início do último período do quarto parágrafo. || C2: O texto apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão"
94,360,120,80,40,80,40,80.0,120.0,80.0,80.0,120.0,480.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:47:55+00:00,"C1: O texto apresenta desvios gramaticais medianos, como problemas de pontuação (separação incorreta de termos), falhas de concordância, regência e estrutura sintática, além de repetições vocabulares que revelam um domínio mediano da norma culta. || C2: O texto apresenta o tema da gravidez precoce e desenvolve o tipo dissertativo-argumentativo, embora com traços expositivos predominantes. A estrutura argumentativa é mediana, apresentando projeto de texto perceptível, mas com desenvolvimento supe"
97,400,120,120,80,0,80,120.0,120.0,80.0,80.0,0.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:48:12+00:00,"C1: O texto apresenta estrutura sintática produtiva e desvios gramaticais pontuais, como problemas de concordância ('índices preocupante') e pontuação antes de orações subordinadas, além de falhas na acentuação ('á distância'). O registro é predominantemente formal, mas com deslizes na coesão e na precisão vocabular. || C2: A redação apresenta o gênero dissertativo-argumentativo e aborda o tema da educação brasileira, mas com falhas na organização lógica e na argumentação. O uso do repertório é "
108,400,120,80,80,80,40,40.0,80.0,80.0,40.0,0.0,240.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:49:09+00:00,"C1: A redação apresenta múltiplos e graves desvios gramaticais e estruturais, destacando-se falhas severas de pontuação (ausência de vírgulas em enumerações e isolamento incorreto), graves problemas de concordância e regência, além de desvios ortográficos (como 'conseder' e 'urais') e construções sintáticas precárias que demonstram domínio muito limitado da norma culta. || C2: O texto apresenta o tema da reforma da previdência e utiliza a estrutura dissertativo-argumentativa, mas com sérias falh"
112,400,120,80,80,80,40,80.0,80.0,80.0,80.0,0.0,320.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:49:26+00:00,"C1: O texto apresenta desvios gramaticais medianos, como problemas de pontuação (espaço antes de pontuação), repetições vocabulares excessivas ('problemas', 'pragas', 'pesticidas') e construções sintáticas informais ou truncadas ('até s vezes'). O registro é predominantemente coloquial e há falhas na estruturação dos períodos. || C2: O texto apresenta o tema dos agrotóxicos e esboça uma estrutura dissertativa-argumentativa, porém o desenvolvimento é superficial, limitado e carece de repertório s"
113,400,120,40,80,80,80,80.0,80.0,80.0,40.0,0.0,280.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:49:56+00:00,"C1: O texto apresenta desvios gramaticais medianos e recorrentes, como falhas de concordância ('está sendo discutido a questão', 'a posso'), problemas de regência e pontuação inadequada. Além disso, há inadequações no registro formal da língua, como repetições e construções coloquiais ('mais apenas', 'armanados', 'abituada'). || C2: O texto apresenta o tema da legalização de armas e adota o tipo dissertativo-argumentativo, mas com falhas expressivas na estrutura dissertativa e no repertório soci"
114,400,120,80,80,80,40,80.0,120.0,80.0,80.0,40.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:52:05+00:00,"C1: O texto apresenta desvios medianos gramaticais e de construção sintática, destacando-se a ausência de crase ('à imunização'), uso inadequado de pronomes relativos ('aonde'), problemas de pontuação (vírgulas antes de orações adjetivas restritivas e ausência de vírgulas obrigatórias) e concordância, além de emprego de registro coloquial ('para ontem', 'não presta'). || C2: O texto apresenta o tema da vacinação e demonstra domínio parcial do tipo textual dissertativo-argumentativo, com presença"
117,440,120,80,80,80,80,120.0,160.0,120.0,120.0,160.0,680.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:52:42+00:00,"C1: O texto apresenta estrutura sintática mediana e desvios gramaticais pontuais, como falhas de concordância ('as máfias ascenderam . E resultou'), pontuação inadequada (separação incorreta entre sujeito e predicado) e problemas de regência e pontuação em períodos compostos. || C2: O texto apresenta boa compreensão da proposta e desenvolve adequadamente o tema sob o viés dissertativo-argumentativo, com repertório sociocultural produtivo (Lei Seca e FGV) e estrutura completa. Contém apenas algun"
119,440,120,80,80,80,80,120.0,120.0,120.0,120.0,0.0,480.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:53:29+00:00,"C1: O texto apresenta estrutura sintática mediana e desvios gramaticais pontuais, como a presença de termos inadequados para a modalidade escrita formal (ex: 'empreguinados') e pequenas falhas de pontuação, mas mantém a inteligibilidade e demonstra domínio razoável da norma padrão. || C2: O texto apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão, mas a abordagem do tema é excessivamente opinativa e com traços panfletários, o que compromete o distanciament"
121,440,120,120,80,0,120,120.0,120.0,80.0,80.0,40.0,440.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:54:10+00:00,"C1: O texto apresenta estrutura sintática mediana e boa compreensão da modalidade escrita formal, mas com desvios pontuais de pontuação, como o uso inadequado de vírgulas separando orações, e problemas de regência e crase ('à centros', 'com à vida'). A escolha de registro é predominantemente adequada, embora haja repetições lexicais. || C2: O texto apresenta o gênero dissertativo-argumentativo, com tese e desenvolvimento voltados para o tema da dependência do crack e a internação compulsória. No"
127,440,120,120,80,80,40,120.0,120.0,120.0,120.0,120.0,600.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:55:52+00:00,"C1: O texto apresenta estrutura sintática boa, mas com alguns desvios gramaticais e pontuais, como o trecho 'Além dissonem uma gestação', que revela falhas na coesão e na ortografia/segmentação. O registro é predominantemente formal, mas há imprecisões pontuais na pontuação e na escolha lexical ao longo dos parágrafos. || C2: A redação apresenta o tema da gravidez precoce e desenvolve o texto em formato dissertativo-argumentativo, com introdução, desenvolvimento e conclusão. No entanto, o repert"
150,440,120,80,80,120,40,120.0,120.0,80.0,120.0,40.0,480.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:56:25+00:00,"C1: O texto apresenta estrutura sintática mediana e desvios gramaticais pontuais, como problemas de pontuação (vírgulas excessivas que fragmentam períodos, como na introdução) e falhas de regência ou paralelismo, mas mantém o registro culto adequado em boa parte da redação. || C2: O texto apresenta estrutura dissertativo-argumentativa com tese e proposta de intervenção, caracterizando o nível mediano. No entanto, há um desenvolvimento um pouco frágil das ideias e analogias científicas que limita"
151,480,120,120,80,80,80,80.0,120.0,80.0,80.0,0.0,360.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:56:45+00:00,"C1: O texto apresenta desvios gramaticais medianos, como problemas de pontuação (períodos longos e fragmentados), inadequações na escolha de registro e repetições vocabulares que comprometem a fluidez da modalidade escrita formal. || C2: A redação apresenta o tipo textual dissertativo-argumentativo, com tese e desenvolvimento voltados para a temática do patriotismo e do hino nas escolas. No entanto, o texto revela mediana elaboração argumentativa com repetições e uso expressivo de traços da oral"
161,480,120,80,80,120,80,40.0,120.0,40.0,40.0,0.0,240.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:57:15+00:00,"C1: O texto apresenta inúmeros desvios gramaticais graves, como problemas de pontuação (vírgulas mal colocadas), concordância ('famílias que tirava', 'mais de 169 mortos', 'indústria à o'), regência e escolha lexical precária, demonstrando domínio muito limitado da norma culta. || C2: A redação apresenta o tipo textual dissertativo-argumentativo com uma tese e desenvolvimento, embora com marcas de oralidade e estrutura frasal por vezes simplificada. O tema é compreendido e abordado sem tangencia"
164,480,120,120,80,80,80,120.0,120.0,120.0,120.0,0.0,480.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:57:43+00:00,"C1: A redação apresenta boa estrutura sintática e vocabulário adequado, mas comete alguns desvios gramaticais relevantes, como vírgula incorreta entre sujeito e predicado ('brasileiro, está') e erro de concordância ('Cumprido a pena'). O registro é predominantemente formal, embora haja pequenas falhas de pontuação e regência. || C2: A redação apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão, além de desenvolver o tema sem tangenciá-lo. No entanto, o repe"
165,480,120,80,80,120,80,80.0,120.0,120.0,80.0,0.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:58:56+00:00,"C1: O texto apresenta desvios gramaticais medianos, como problemas de pontuação (ausência de vírgulas obrigatórias, como antes de orações adjetivas explicativas), falhas de regência e concordância, além de inadequações no registro formal da língua, a exemplo do uso de 'aonde' em contexto incorreto. || C2: A redação apresenta o tema da gravidez na adolescência e adota a estrutura dissertativo-argumentativa, mas o repertório legitimado é mal utilizado (citação de Newton fora de contexto) e a argum"
169,480,120,120,80,80,80,40.0,80.0,40.0,40.0,160.0,360.0,1,gemini-3.5-flash-lite,mts,2026-09-03T18:59:34+00:00,"C1: A redação apresenta diversos desvios graves e frequentes que demonstram domínio precário da norma culta, tais como inúmeras falhas de pontuação (vírgulas separando sujeito e predicado), desvios de concordância, regência e problemas na estrutura sintática e na escolha vocabular. || C2: O texto apresenta o tipo dissertativo-argumentativo de forma mediana, porém com falhas graves na estrutura sintática, desvios gramaticais que prejudicam a argumentação e tangenciamento parcial do foco temática "
172,480,120,120,80,80,80,40.0,120.0,80.0,40.0,0.0,280.0,1,gemini-3.5-flash-lite,mts,2026-09-03T19:00:09+00:00,"C1: O texto apresenta graves e numerosos desvios gramaticais e estruturais, incluindo sérios problemas de concordância, regência, pontuação inadequada (como separação incorreta entre sujeito e predicado) e falhas graves de sintaxe e coesão, configurando um domínio precário da norma culta. || C2: A redação apresenta o tema do feminicídio e desenvolve um texto de caráter dissertativo-argumentativo, embora com traços expositivos predominantes. A estrutura argumentativa é mediana, apresentando proje"
175,480,120,80,80,120,80,80.0,120.0,80.0,40.0,80.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T19:00:49+00:00,"C1: O texto apresenta desvios gramaticais medianos, destacando-se a vírgula proibida entre sujeito e predicado ('...redes sócias, vem...'), problemas de acentuação ('sócias', 'videos', 'toxicas', 'criasse'), falhas de regência e pontuação inadequada que prejudicam a fluidez, além de repetições lexicais ('povo brasileiro'). || C2: A redação apresenta o tema do discurso de ódio nas redes sociais e desenvolve um texto de base dissertativo-argumentativa, embora o repertório sociocultural seja ausent"
177,480,120,80,80,120,80,80.0,120.0,120.0,120.0,160.0,600.0,1,gemini-3.5-flash-lite,mts,2026-09-03T19:01:49+00:00,"C1: O texto apresenta desvios gramaticais medianos, como falhas de pontuação (vírgulas separando sujeito e predicado), problemas de concordância ('a população... ganham', 'populações... são excluída', 'as populações... são') e regência, além de inadequações pontuais no uso do acento indicativo de crase. || C2: A redação apresenta o tipo textual dissertativo-argumentativo, com introdução, desenvolvimento e conclusão, além de desenvolver o tema da democratização do acesso ao cinema no Brasil. No e"
178,480,120,120,80,120,40,120.0,120.0,120.0,80.0,0.0,440.0,1,gemini-3.5-flash-lite,mts,2026-09-03T19:02:30+00:00,"C1: O texto apresenta estrutura sintática complexa e bom domínio do registro formal, mas com desvios pontuais de pontuação, concordância ('o povo, unidos', 'quem os esmagam') e ortografia/aglutinação ('entre linhas', 'de pressa'). || C2: O texto apresenta estrutura dissertativo-argumentativa com tese, desenvolvimento e conclusão, além de atender ao tema da reforma da previdência. No entanto, o nível de formalidade e a impessoalidade exigidos pelo gênero são frequentemente comprometidos por marca"
180,480,120,80,80,120,80,80.0,80.0,40.0,80.0,120.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T19:03:50+00:00,"C1: O texto apresenta estrutura sintática mediana e desvios gramaticais evidentes, como vírgulas separando sujeito e predicado e problemas de paralelismo e pontuação. Há trechos fragmentados que comprometem a fluidez e demonstram domínio mediano da norma culta. || C2: A redação apresenta o tema da gravidez na adolescência, mas o desenvolve de forma superficial e com falhas na estrutura dissertativo-argumentativa, especialmente no último parágrafo que se restringe a uma proposta de intervenção se"
186,480,120,120,80,120,40,80.0,120.0,80.0,80.0,40.0,400.0,1,gemini-3.5-flash-lite,mts,2026-09-03T19:05:36+00:00,"C1: O texto apresenta desvios gramaticais medianos, com falhas evidentes de pontuação (ausência de vírgulas obrigatórias, como após adjuntos adverbiais deslocados), problemas graves de concordância ('doenças tem', ausência de acento diferencial), regência e falhas na estrutura sintática, revelando domínio mediano da norma culta. || C2: O texto apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão, além de abordar o tema da vacinação e seus desafios sem tangen"
190,480,120,120,80,120,40,40.0,120.0,80.0,40.0,160.0,440.0,1,gemini-3.5-flash-lite,mts,2026-09-03T19:07:26+00:00,"C1: O texto apresenta precário domínio da modalidade escrita formal, com graves e recorrentes desvios gramaticais. Destacam-se erros graves de concordância, regência, pontuação inadequada, problemas de paralelismo sintático e construções frasais truncadas (como o uso incorreto de 'no qual'). || C2: O texto apresenta o tema da volta de doenças erradicadas e desenvolve o tipo textual dissertativo-argumentativo com uma introdução, desenvolvimento e conclusão. No entanto, há limitações no repertório"
195,480,120,120,80,120,40,40.0,120.0,80.0,40.0,80.0,360.0,1,gemini-3.5-flash-lite,mts,2026-09-03T19:08:00+00:00,"C1: O texto apresenta inúmeros desvios gramaticais graves, como problemas severos de pontuação (vírgulas separando sujeito e predicado), falhas de concordância, regência e estrutura sintática truncada. O registro é predominantemente informal e apresenta forte desorganização na modalidade escrita formal. || C2: O texto apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão, além de abordar o tema da preservação da Amazônia sem tangenciamento. No entanto, o repe"
200,520,120,120,80,120,80,120.0,120.0,120.0,120.0,0.0,480.0,1,gemini-3.5-flash-lite,mts,2026-09-03T19:09:32+00:00,"C1: O texto apresenta desvios gramaticais medianos, como problemas pontuais de pontuação (ausência de vírgulas obrigatórias, como após adjuntos adverbiais antepostos) e construções sintáticas que revelam falhas de paralelismo e concordância, além de desvios de registro formal. || C2: O texto apresenta estrutura dissertativo-argumentativa com introdução, desenvolvimento e conclusão, além de desenvolver o tema dentro dos limites propostos. No entanto, o repertório sociocultural é produtivo de form"
