comp,band,score_comp,essay
C2,160,160,"Na famosa série ""13 reasons why"", a jovem Hannah Baker, após sofrer com diversas situações em sua vida, resolve dar fim a mesma. Isso remete a um transtorno muito comum: a depressão, doença que de acordo com a OMS , afeta milhares de pessoas todos os anos ao redor do mundo, sendo o Brasil, o maior país da américa latina em casos confirmados. Porém, ainda continua recebendo um preconceito gigantesco e tratada como apenas um “drama”, quando na verdade vai muito mais além do que isso.', 'Vale destacar, que a falta de empatia, compaixão e acolhimento a indivíduos que sofrem com algum tipo de transtorno não só a depressão, só deixa mais evidente o estigma em relação s doenças mentais na sociedade brasileira, ainda mais na atual situação em que se encontra o mundo, quando quadros como esses ganh"
C2,200,200,"Na obra ""Brasil: uma biografia"", as historiadoras Lilia Schwarcz e Heloisa Starling apontam ao leitor as idiossincrasias na sociedade brasileira. Dentre elas, destaca-se ""a difícil e tortuosa construção da cidadania"". Embora o país possua uma das legislações mais avançadas do mundo, muito do que nela se prevê não se concretiza. Tal fato é evidenciado no âmbito do debate sobre o marco temporal, tendo em vista que, apesar dos indígenas possuírem um direito constitucional, a omissão do Estado associada ao silenciamento, faz com que a cidadania não seja gozada por todos de maneira plena.', 'Dessa forma, em primeira análise, a ineficiência governamental intensifica a gravidade do problema. Para Thomas Hobbes, o Estado é responsável por garantir o bem - estar dos cidadãos. Porém, tal responsabil"
C3,0,0,"A liberdade de expressão tem se tornado mais veemente , principalmente por conta do fácil acesso às redes sociais. Com isso, cada indivíduo se acha no direito de se expressar como quer . Muitas vezes, ferindo conceitos e princípios de outrem.', 'Não se atendo somente ao mundo virtual, a maneira de se expressar sem medições chegou às ruas , com manifestações impacíficas e até mesmo atentados, como o acontecido ao jornal ""Charlie Hebdo"", em Paris.', 'Aliás, o atentado a ""Charlie Hebdo"", nos mostra o quanto há pessoas intolerantes a opiniões contrárias, e o quanto isso pode afetar a vida de pessoas que não compartilham de uma mesma idéia. Além do mais, a repressão fere um direito previsto em constituição . E estamos assegurados tanto a opiniões, quanto a informações. Porém, para um melhor con"
C3,40,40,"A religião que reúne o número maior de seguidores é a católica, .', 'Na idade, moderna aconteceu na Europa um processo conhecido como reforma protestante ,como em destaque Luteranos, que impediam cada estado de adotar sua própria e livre escolha religiosa. E o Calvinismo que se expandiu com as mesmas medidas de Lutero, para designar ,os cristãos não católico-romano isso , devemos respeitar a decisão , de cada pessoa na escolha da crença.', 'Segundo dados do IBGE Instituto Brasileiro De Geografia Estatística ,só no Brasil o número de católicos é de 64%.Além disso ele é o país , com a maior nação católica do mundo.', 'Pois , existem varias religiões espalhadas ,a evangélicas ,cristãs, muçumanas ,budismo,camdoble .A intolerância dos indivíduos é respeitar a liberdade ,sem agressões e indifere"
C3,80,80,"Atualmente uma polêmica vem tomando conta do nosso país. Isso se deve ao fato do recente sancionamento da lei que libera o porte, uso, distribuição e fabricação da ""pilula do câncer"". Tal sancionamento seria um modo de combater o câncer ou apenas uma manobra política?', 'É de vital importância para a população que todos os medicamentos a nossa disposição sejam seguros para usufruirmos, o que consiste em passar por uma série de testes. Contudo, esse não é o caso da fosfoetanolamina, que está sendo distribuída para a população sem o consentimento científico.', 'Com a promessa de melhorar a qualidade de vida de pacientes com câncer, ou até chegar à cura, esse medicamento vem conquistando fãs pelo Brasil. Porém, como que uma substância que não é nem considerada um remédio pela USP pode ser cap"
C3,120,120,"Uma recente tragédia ocorrida na região de Brumadinho, interior de Minas Gerais, mobilizou todo o país, chamando atenção pelo grande número de vítimas e que deixou dúvidas sobre a razão para tal acontecimento.', 'O Brasil possui grandes reservas de minério, sendo algumas de minérios de ferro, que podem ser encontrados na região d Centro-Oeste do país. Visando o lucro que essas e outras matérias primas podem oferecer, mineradoras foram fundadas no local, expandindo a produção.', 'A Vale é uma delas, deu-se início no estado de Minas Gerais, fornecendo matéria prima para siderúrgicas nacionais e se tornou uma multinacional, conhecida no mundo como uma das maiores mineradoras da atualidade. É a responsável pela barragem que se rompeu em 2015 em Mariana, também situada no estado de Minas Gerais"
C3,160,160,"Ao se discutir sobre o tema da saúde da população em geral, é comumente levantada a questão da automedicação. Além de estar associada à falta de instrução e conhecimento dos malefícios que tal prática pode causar, entra à tona o funcionamento do sistema de saúde do país.', 'Uma grande parte da sociedade acredita estar se automedicando conscientemente, não pensando nos riscos que isso poderá trazer. O que é colocado em jogo, ? é que ? muitas vezes ? é ensinado nas próprias escolas sobre as consequências do uso de medicamentos sem seguir a recomendação médica. Exemplo disso é a proliferação de bactérias mais resistentes caso o indivíduo não tome o antibiótico no período determinado pelo profissional da saúde. Desse modo, seu sistema imunológico fica mais frágil e suscetível a novas infecções"
C3,200,200,"O esporte não é só um lazer ou profissão, é um estilo de vida, um modo de manter-se saudável. A prática esportiva não só melhora a saúde no geral, como ajuda a o ser humano a desenvolver o seu espírito de garra, persistência, de correr atrás dos seus objetivos e cumprir as suas metas.', 'O mundo encontra-se na era da tecnologia, as pessoas pararam de viver o real para estarem conectadas 24 horas, e assim esquecendo até de se movimentarem. Uma pesquisa feita recentemente mostra que aproximadamente 50% da população brasileira é sedentária, e isso não é nada bonito, pois da forma que vai a taxa de idosos no Brasil reduzirá bastante, pois as pessoas estão perdendo a chance de prevenir doenças cardiovasculares, de elevar a autoestima, reduzir riscos de diabetes, perdendo de elevar a capacidade "
C4,0,0,"É de fundamental importância destacar, de destacar como a ciência transformou-se no mundo atualmente atual. Por esse motivo, a era da pós-verdade influenciou um grupo de pessoas, governos, instituições sociais e meios de comunicação. Isso aconteceu, porque muitos ocorridos são questionados, sem saber a verdadeira certeza. De uma forma ou de outra, os indivíduos desconfiam e acabam comentando sobre temas diversos.', 'Pode-se mencionar também como exemplos, a terra, vacinas, vírus de HIV e espécies. Nesses fatos citados, as vacinas ressaltam de maneira mais ampla, por ser um fato preocupante, já que trata de saúde.', 'Em uma segunda análise, a tecnologia também está presente, pois o uso da internet é excessivo e fatores como boatos e mensagens falsas podem ser criados e divulgados por meio d"
C4,40,40,"O caminho do sucesso', 'É de fundamental importância, destacar importância destacar como os brasileiros possuem dificuldades em se manter bem no mundo atual. A sociedade em comum comumente é diversificada quando se comenta em termos de fala sobre dinheiro, estudo, trabalho e fé religiosa. Cada indivíduo emprega seu modo de viver, da viver da melhor maneira possível em todos os aspectos da vida cotidiana. Pessoas em geral, acham geral acham que só têm tem uma vida excelente, ou seja, que não passam passa dificuldades, quem realmente estudar e ter tiver uma profissão para poder exercer exercer.', 'Atualmente, observa-se que está cada vez mais dificultoso difícil de se preservar sobreviver com salários pequenos, miseráveis que não pagam parte das dívidas despesas cotidianas. É um fato assusta"
C4,80,80,"Segundo Platão, “o importante não é viver, mas viver bem”, o qual representa a saúde mental dos policiais que sofrem agravos aos devidos conflitos podendo ser gerados tanto de forma familiar ou profissional, levando à um suposto suicídio.', 'A família deve dar um auxílio, mas vale ressaltar que os sofrimentos de origem familiar acabam sendo despercebidos pelos integrantes da mesma e então não buscam ajudar a intervir a questão do suicídio, o que arremata sendo levado ao ambiente de trabalho.', 'Assim que o indivíduo exerce sua vida profissional sem tratar sua própria saúde mental, acarreta um rendimento prejudicial e isso agrava ainda mais a questão dos sentimentos indesejáveis, podendo ocasionar depressões futuras e transtornos que segundo o sujeito portador dessas angústias, a morte é a "
C4,120,120,"“No meio do caminho tinha uma pedra, tinha uma pedra no meio do caminho”. O trecho do poema de Carlos Drummond de Andrade retrata muito bem a Reforma da Previdência Social, tal que ela insere uma pedra no caminho do brasileiro, pois as medidas da Reforma definem que o tempo de contribuição das pessoas passar a aumentar e a remuneração irá diminuir. Contudo o governo deve mudar sua ideia sobre tal, pois o povo deve ser beneficiado e não prejudicado.', 'Em princípio o governo usa como argumento para implementação dessa reforma um déficit, que de acordo com eles continuará a crescer se as regras atuais de concessão do benefício permanecerem. Todavia para o Presidente da Associação Nacional dos Auditores Fiscais da Receita Federal, Vilson Antonio Romero Romério, não há déficit, pelo contrário "
C4,160,160,"A constituição federal de 1988, documento jurídico mais importante do país, prevê em seu artigo 6°, o direito segurança como inerente a todo cidadão brasileiro.', 'Conquanto, tal prerrogativa não tem se reverberado com ênfase na prática quando se observa a transfobia no Brasil, dificultando, deste modo, a universalização desse direito social tão importante. Diante dessa perspectiva, faz-se imperiosa a análise dos fatores que favorecem esse quadro.', 'Em uma primeira análise, deve-se ressaltar a ausência de medidas governamentais para combater a transfobia no Brasil. Nesse sentido, causa consequência para sociedade se continuar sem fazer nada . Essa conjuntura, segundo as ideias do filósofo contratualista John Locke, configura-se como uma violação do "" contrato social "", já que o estado não"
C4,200,200,"Segundo o filósofo George Santayana, aqueles que não conseguem lembrar o passado estão condenados a repeti-lo. Analisando o pensamento e relacionando-o a realidade atual, é notório que os partos humanizados afetam de forma evidente a sociedade atual, já que a falta de comunicação sobre a saúde pública é extrema. Além de que o problema está inserido em todo o sistema educacional brasileiro, em virtude de que anteriormente na história do mundo já foram presenciados diversos casos de partos humanizados que ocorreram complicações e novamente a sociedade comete o mesmo erro de glamorização e sofre com as mesmas consequências, mas ainda assim ignorando o assunto.', 'Nessa perspectiva, pode-se afirmar que o descaso governamental com a educação, a escassa abordagem de explicações sobre partos em i"
C5,0,0,"O ser humano é considerado um ser racional, porém mostra-se oposto a isso quando não compreende o que acontece ao seu redor, com isso histórias sem embasamento atraem e assustam os desprovidos de razão.', 'Histórias improváveis combinadas com certa ignorância mexem com a cabeça do homem moderno e da antiguidade também. Podemos citar como exemplos holocaustos feitos por varia civilizações antigas, sacrifícios grotesco que envolvia virgens e crianças. O mesmo valor que se da as crendices antigas podemos dar a profecia maia sobre o fim do mundo, ou seja, nenhuma.', 'O que talvez possa ser umas da possíveis explicações para a atração e o medo dado a profecia maia sobre o fim do mundo seja a falta de conhecimento. Basta olhar a história da humanidade que veremos que está repleta de profecias so"
C5,40,40,"Enquanto o Brasil não ver a cultura e, principalmente, a educação como um potencial de desenvolvimento do país, estaremos sempre a vê-las pelo Estado como áreas sujeitas a cortes em investimentos e interferências indevidas.', 'Causa espécie pensar que tínhamos mais salas de cinemas na década de 70 do que agora e que estas à época era mais descentralizadas do que hoje. O país, antes inepto a lidar com a urbanização acelerada e os custos na ajuda às empresas exibidoras, atualmente demonstra clara indeferença e mesmo desprezo pela cultura cinematográfica.', 'Tomem-se como exemplos disso os investimentos em educação e cultura sempre serem contigenciados quando governos propalam controlar gastos execessivos e, no momento atual, intervenção e repudiáveis censuras a contedos produzidos pela indús"
C5,80,80,"Educação engloba processos de ensinar e aprender. É o fenômeno observado pelos grupos constitutivos de qualquer sociedade, sendo responsável pela sua manutenção perpetuação, transformação e evolução da sociedade a parti da instrução ou condução de conhecimento.', 'No Brasil, a educação escolar é regulamentada pela Lei de Diretrizes e Base da Educação Nacional , pelo Fundo de Manutenção e Desenvolvimento da Educação Básica e pelo Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério.', 'Há se observar , a principal meta do Plano de Desenvolvimento da Educação (PDE) é uma educação básica de qualidade, devendo investir na educação profissional e superior.', 'Conduto , o Governo Federal, forneceu uma recente proposta de reforma do ensino médio. A reforma fl"
C5,120,120,"Já na década de 20,em um tempo onde a homossexualidade era crime, Alan Turing ,o pai da computação moderna e responsável por decifrar os códigos nazistas durante a segunda guerra mundial, acabou sendo condenado à prisão e castrado simplesmente por ser gay. Atualmente, a homofobia ainda se faz presente em nossa sociedade, mesmo que de forma velada, por aqueles que não vêm a classe LGBT passível de direitos.', 'Podemos entender a homofobia como uma forma de colocar a outra pessoa na condição de inferioridade baseado na lógica heteronormativa . Esse preconceito, praticado até mesmo na forma de agressão física, explica o fato de que a cada 28 horas um LGBT é morto no Brasil. A estigmatização da homofobia ultrapassa as questões pessoais podendo ser percebida até mesmo no mercado de trabalho ond"
C5,160,160,"Na série ""Black Mirror"", uma mulher perde todos os seus bens após ser influenciada digitalmente. Longe da ficção esse problema é ainda mais preocupante, visto o grande poder que essas pessoas possuem na internet, poder que, através de um perfil personalista, pode vir a ser utilizado de maneira negativa sem ao menos perceber.', 'Em primeiro plano, é notável enfatizar que muito da influência dessas pessoas deve-se à forte propaganda associada a sua imagem. Por consequência, essa imagem, muitas vezes com um grande excesso de carisma, é utilizada para convencer o público a comprar algum produto ou a praticar uma ação, de modo que deixa o usuário em uma constante falta de autonomia . De acordo com o sociólogo T. Adorno, ""em muitas pessoas já é um descaramento dizerem eu"", isso ocorre pois grand"
C5,200,200,"Afirma - se, que cada vez mais há vitimas de armas de fogo. No Congresso Nacional tramita a lei que revoga o estatuto do desarmamento concedendo ao cidadãos o direito de andar armado, visto que não lhe dará plena segurança, nem resolver a violância no pas.', 'Tendo a conecepção de que ter a sua própria autodefesa, atráves de uma arma irá deixa- lo vulnerável, pois o infrator ao visualizar o instrumento tentará ter o tempo de reação mais rápido do que a vítima efetuando assim o disparo e ocorrendo assasinato, como também, presenciamos diariamente casos de violência doméstica e contra a mulher em que se utiliza este meio.', 'Além disso, as chance de ocorre um acidente pela falta de habilidades de como atirar e psicológico é muito grande, visto que o preparo está ineficaz, principalmente há p"
