index_redacao,prompt,title,essay,c1,c2,c3,c4,c5,score
42,78,Reforma no Ensino,"['O tão sonhado momento chegou "" Reforma no Ensino"",entretanto.', 'Desde a antiguidade, a uma busca constante, pela mudança educacional. Pais idealistas de um ensino de qualidade buscam para os seus filhos,algo que lhe foi negado, devido as condições precária da mesma.', 'Hoje a um passo , de se tornar realidade.', 'Todavia, faz-se necessário um levantamento de dados e fatores importantíssimos que devem, ser estudados minuciosamente através de anos de estudo ,para somente então obter um aprimoramento na estrutura do ensino ,fato este que ir ocorrer a partir do momento que houver uma conscientização de suma importância na interação da sociedade como um todo, pois a mesma é amais interessada nesta modificação.']",80,80,80,80,80,400
49,74,Quem maltrata uma mulher não merece ter uma,"['A princípio é notório a existência de um aspecto cultural preconceituoso desde as primeiras civilizações n qual atribui a função da mulher apenas como das atividades domestica e submissão ao homem . Essa ideologia preconceituosa é bíblica, e não pode ter ênfase principalmente na atualidade, pois a mulher tem a mesma capacidade que o homem, denotando que existe a mesma capacidade e responsabilidade em ambos os sexos.', 'Milênios se passaram desde que a bíblia foi escrita. as muitas civilizações principalmente as ocidentais têm na bíblia os valores morais de suas constituição . É importante ressaltar que o livro de Deus foi escrito por homens . Logo, as mulheres não seriam exaltadas, (Eclesiastes 25, 24: Foi pela mulher que começou o pecado, e é por culpa dela que todos morremos.) Eclesiastes 9, 2: Não se entregue a uma mulher, para que ela não o domine.', 'Levítico 15,18-33: Quando um homem e uma mulher se unirem com emissão de sêmen, se banharão e ficarão impuros até a tarde. Se uma mulher menstruar, ficará impura até sete dias após o término do fluxo, sendo que tudo o que ela tocar ficará impuro até a tarde. Se alguém tentar tocá-la ou tocar em um móvel deixado impuro por ela, ficará impuro até a tarde. Quem se juntar a ela durante este período ficará impuro por sete dias.', 'Será que Deus emitiu esse discurso ao homem? Se Deus fez os casais de todos os animais, por que só a mulher ele faria da costela do macho? Será que foi Eva quem deu a maçã para Adão? Ou ele a obrigou a comer primeiro? Tem muita coisa errada no mundo que está nas escrituras da bíblia, não a mando de Deus e sim do homem.', 'Religião, machismo, misoginia, preconceito foram empregados nos centros das sociedades cristãs, não a mando do Cristo, mas ao bel prazer do homem. Como resolver esse problema? Só com uma reeducação.  E implantando na cultura nacional a igualdade dos gêneros. Quando em uma sociedade é preciso criar uma lei para punir o homem por fiminicidio tem algo muito errado com ela não? Só com a igualdade e o mesmo respeito que um homem tem ao outro, essa situação vergonhosa mudará. Só quando o agressor perder o direito por lei, de ter outros relacionamentos com o sexo oposto essa situação mudará definitivamente. O homem que maltratar uma mulher não merece ter outra.']",80,80,80,80,80,400
50,78,Consequência de uma decisão,"['Segundo José Saramago,na falsa democracia mundial, o cidadão está a deriva, sem a oportunidade de intervir politicamente e mudar o mundo. Nesse sentido, notamos com a nova proposta do governo sobre a reforma do Ensino Médio, a qual surgiu fortuitamente e foi aprovada sem o consenso da sociedade,fazendo com que os indivíduos ficassem indignados,pois, a população nem as bases de ensino estão preparados .', 'Em primeiro plano, observa-se que o povo foi mais uma vez deixado de lado, diante de um assunto delicado que é a educação,onde jovens _Futuro do país_ serão envolvidos .Projetados planos para modificar o ensino médio, esses deveriam entrar em debate para melhor organização.', 'Em segundo plano, nota-se que as instituições de ensino, não estão preparadas para receber e aplicar novos planos integrais de estudo, dessa forma, pode haver uma grande frustração futuramente . De acordo com o político e ativista social ""Nelson Mandela"" , a educação é a maior arma que se pode usar para mudar. Porém, a nova ideia da reforma do Ensino Médio é muito precitada, e o curto prazo para a iniciação faz com  a sociedade sinta-se  cética à decisão .', 'Desse modo, com a aprovação do ensino técnico ao ensino médio,o ministério da educação deverá colocar em prioridade as instituições mais carentes ,em prol de um planejamento adequado, para que não venha a falhar . Logo, o governo durante esse tempo de adaptação, deverá considerar os apelos e críticas da sociedade, para que essas desenvolvam melhor os seus papéis. Em meio a esse envoltório a população deve exigir das autoridades mais participação do povo em suas decisões.']",80,80,80,80,80,400
54,0,Apropriação Cultural e o Racismo Velado,"['No que se refere, a A apropriação cultural é um problema que está relacionado ao racismo. Dentre outras fatores, destaca-se um grave problema, que é a pessoa não ter vivido os preconceitos raciais e ainda não conhecer a cultura de que está apropriando-se se apropriando no Carnaval.', 'Certamente, a apropriação cultural no Carnaval é um preconceito racial velado, pois a pessoa afirma não está estar cometendo racismo. Usar cocar no Carnaval é ignorar o fato de muitos indígenas terem sido caçados e mortos no começo do Brasil e ainda serem mortos até hoje.', 'Além disso, o problema de uma pessoa está estar usando pinturas corporais, cocares e roupas indígenas como uma fantasia carnavalesca, sem mesmo conhecer a história daquela cultura. Apropriação cultural é um ato de caçoar com o do passado daquele povo, pois você não conhece a origem daquela cultura e os costumes delas dela.', 'Dessa forma, percebe-se a falta de conhecimento cultural que o próprio povo brasileiro tem de outras culturas nacionais e internacionais. São necessárias políticas públicas, do ministério da educação Ministério da Educação, para maiores acesso acessos a escolas com maiores conhecimento conhecimentos culturais do nosso próprio país e de outros. Assim Assim, teremos mais respeitos respeito com nossas várias culturas brasileiras e mundiais internacionais.']",80,120,80,80,80,440
57,78,Faça-se a luz!,"['Reformar o ensino médio no Brasil é necessário, mas não do jeito que o governo quer impor, sem discutir com os mais interessados, docentes e discentes. A proposta não agrega nada de interessante que possa transformar o atual sistema educacional em melhor. Pelo contrario  estar direcionando os estudantes de escola publica para o ensino técnico e não para a universidade.', 'Retirar os direitos e incentivos dos professores também não ajuda nessa reforma , assim os melhores professores irão embora para o sistema privado, deixando as instituições publicas cada vez mais defasadas . Não é assim que se faz uma mudança tão importante na educação . Ela é o pilar mais importante de toda as sociedades no mundo. Educação primeiro! Educação não é despesa é investimento. E o retorno é impagável! Só quem investe nela tem um país mais justo, prospero e soberano.', 'Quem deve ficar a frente desse projeto de transformação é um educador, e não um politico . Os professores devem ser incentivados, valorizados e respeitados. Sem eles não existe educação. Quem tem que ser Ministro da educação é um professor e nunca um politico. É preciso pensar juntos para que essa reforma seja boa para todos. Assim, ganha a sociedade os educandos, os educadores, o governo e o país.', 'Logo, se essa reforma imposta pelos políticos será problema ou solução. Só quem pode dar essa resposta são os educadores! Por que não chamaram eles para desenvolver o projeto? O que dará certo na reforma é se os professores forem bem pagos, incentivados e valorizados. Pelo governo, pelos alunos e pela sociedade. Porque ensinar hoje em uma escola publica brasileira é um ato de coragem e de amo. Sem professor não há educação, civilização nem nação . Invistam no professor que a educação muda pra melhor. A grandeza não consiste em receber honras, mas em merecê-las. Aos corajosos professores brasileiros que mesmo diante das grandes dificuldades  nunca desistiram de ensinar toda honra e toda glria.']",80,120,80,80,80,440
61,22,Segundo a Constituição brasileira,"['Segundo a constituição brasileira todos são iguais perante a lei. No entanto, cidadões comuns brasileiros são julgados por instâncias inferiores enquanto pessoas que ocupam cargos públicos privilegiados são julgados por instâncias superiores. Essa separação, também chamada de foro privilegiado, vem ganhando repercussão, uma vez que, esses privilégios tem levado a impunidade de algumas figuras políticas. Além disso, o condenado possue menos instâncias para recorrer e somente pode pedir a reavaliação de provas em casos específicos.', 'Segundo Marx, o alienado é aquele que não tem consciência ou perde o controle sobre os meios de produção e o processo produtivo. No âmbito político, alguns poderes judiciários, por serem independentes perdem a capacidade de julgar autoridades publicas, desse. modo, ao invés de serem julgados pelas quatro instâncias acabam, por direito, julgados por apenas uma. esse fato diminui as possibilidades de um criminoso ser condenado, visto que, a sentença final é dada por apenas um juiz, sem se quer recorrer as outras instâncias. Ademais, é notório que desde a monarquia, alguns desses ocupantes de cargos jurídicos foram escolhidos pelas próprias autoridades condenadas, sendo assim favorecidos quando acusados.', 'Por conseguinte, é negado que outros juízes reavaliem provas, o que ocasiona uma grande injustiça aos que são condenados inocentemente. Dessa forma, esse sistema favorece a corrupção e aumenta ainda mais a injustiça social. O filósofo confúncio suscitou que não corrigir as falhas é o mesmo que cometer novos erros. Desse modo, faz-se altamente necessários medidas para solucionar o impasse.', 'Para isso, cabe ao povo promover manifestações pacificas ou por meio de redes socias a respeito das injustiças do sistema de foro privilegiado. Por outro lado, é dever do estado garantir o direito de igualdade previsto na constituição,  e não favorecer as minorias. Por fim a mídia deve abordar mais o tema em programas de televisão para que a sociedade esteja ciente das regalias existentes.']",80,120,80,80,120,480
65,78,,"['No mundo de hoje muito dos jovens de até 17 anos que já podiam estar se formando,estão fora da escola . Isto leva pensar que muito desses jovens não vão para a escola por causa das demais disciplinas ou por causa da forma de ensino .', 'Ser que a reforma do Ensino Médio vai fazer que com quase 58% dos alunos que estão fora da escola voltarem a estudar? Não podemos pensar neste caso. Muitos jovens de hoje em dia pensam em dar um sustento melhor para sua família,por isso,que quando chegaram no Ensino Médio pararam de estudar para caçar um emprego.', 'Assim poderiam pensar as escolas: Se cada escola do Brasil que tem Ensino Médio pegar em média 10 alunos por sala,inventar algo que mesmo que eles estudem num período de 5 horas,trabalhassem em algo lucrativo que não só ajudasse o aluno e sua família ,mas que também ajudasse no desempenho da escola. O governo pagaria os alunos numa faixa de 300 reais por mês, que com isto,não todos, mas uns 30% dos alunos que estavam fora da escola  possivelmente voltassem a estudar na expectativa de conseguir um serviço. Provavelmente seria ótimo uma reforma assim.']",80,80,120,120,80,480
66,26,Valores invertidos,"['Cogita-se, com muita frequência que a valorização do professor está em falta no Brasil. Devido à inversão de valores e a carência de uma boa política.', 'Em consequência disso, vê-se todo instante noticiários sobre o desprezo ao professor, seja em questão salarial, que é precária, como também em desrespeito constante da parte de alguns alunos.', 'Na sociedade brasileira a educação está se perdendo aos poucos, e o governo, por sua vez, acaba contribuindo para isso, não dando o apoio financeiro necessário para a evolução dos estudos.', 'Por outro lado, a população coopera para a desvalorização dos professores quando deposita um destaque superior a profissões de entretenimento ao invés das que são essenciais para a vida de um ser humano.', 'Levando-se em consideração esses aspectos, conclui-se que os cidadãos brasileiros, de forma geral, precisam de uma mudança ética e moral em relação à educação. É necessário uma reforma na política com leis que reconheçam o verdadeiro valor de um professor.']",80,120,80,120,120,520
72,82,Automediação tornando-se um vício,"['Entende-se como automedicação a utilização de remédios por conta própria e  indivíduos não habilitados, ou seja, consumo d  remédios sem avaliação de um profissional.  Ato no qual  deve ser combatido O  mais rápido possível  pois gera consequências negativas ao consumidor.', 'Atualmente vemos que o número de farmácias inauguradas aumentou, tornando-se um estabelecimento de fácil acesso, no entanto, como consequência   o consumo facilitado de remédios segue o mesmo parâmetro. A auto medicação  gera desde intoxicações até a dependência do remédio   algo que gera o consumo frequente sem necessidade.', 'Segundo o Ministério da Saúde  a automedicação pode aumentar a resistência de micro-organismos e amenizar os efeitos do remédio   tornando-o inútil. Entretanto, decorrente  o acesso facilitado a internet, a indução ao consumo inadequado de remédios é realizada de forma on-line através  de sites relacionados a saúde, os quais podem levar o indivíduo a confundir os sintomas e como consequência ocorre desenvolvimento da doença e inibe sintomas ,dificultando a avaliação profissional.', 'Contudo, a automedicação é um equívoco realizado por inúmeras pessoas, gerando consequências nas quais  passam percebidas, logo, não deixam de ser negativas e afetam a saúde do mesmo. Medidas são necessárias para resolver o impasse,   o Ministério da Saúde deve proibir a venda excessiva de remédios comprados sem a apresentação de receitas médicas e deve estabelecer um número máximo de itens a serem vendidos por pessoa. Como também o MEC deve incluir em todo currículo escolar palestras relacionadas a  automedicação com o objetivo de apresentar as consequências geradas a partir deste  ato. Através desta  perspectiva, nota-se que tais propostas interventivas fazem-se necessárias, visando diminuir a automedicação e conscientizando jovens e adolescentes.']",80,120,120,80,120,520
75,48,Saúde sob pressão,"['A minisserie sob pressão relatar sistema de saúde no Brasil, médico Evendro seu equipes verdadeiro sob pressão aonde equipe médica tem lutar para saúde vida com minino do equipamento também lista com a corrupção na saúde.', 'Em primeiro análise S (sistema de unidades de saúde ) vivencia grande problema que é corrupção dos governos. Livro do príncipe (Maquiavel ) relata que governo quando vai ser eleito para governar principal papel vai ser saúde pública e assim tudo e só para incana sociedade.', 'Em seguida análise desafio de saúde pública e lista com hospital não tem equipamento as vezes nem local para colocar os pacientes.', 'Verefeica-Se então a necessidade  governo  faz um lei para mundo saúde pública fazer lei mas pura e o corrupção dentro governo e hospital assim sociedade vai de direito de saúde pública que possa atentem todos sociedade como esta na constituição brasileira']",80,120,120,160,80,560
79,83,Esporte,"['É notório que, a prática esportiva, pode promover no homem moderno formação de valores, a socialização e o desenvolvimento humano, visto que o esporte desperta a necessidade de uma busca de superação e aprendizado constante. A prática regular de uma atividade física traz benefícios imensuráveis, proporcionando ao indivíduo uma vida mais saudável.', 'O sedentarismo é considerado um comportamento adquirido por consequências das tecnologias criadas para facilitar a “vida” do homem moderno, provocando o desinteresse por realizações de esportes. Pode-se dizer que a prática esportiva realizada com fins de competição também tem seus benefícios, uma vez que seja colocado em evidência o interesse em comum de ambos os competidores, que é a participação.', 'Ainda sob essa ótica, de acordo com a necessidade humana em praticar ou realizar algum exercício físico em consonância com o interesse na competição saudável, podemos ver hoje o que chamamos de olímpiadas. Tal Competição esportiva se deu na Grécia antiga com esportes praticados em Olímpia, e tinha como sentido celebrar a paz e a trégua entre as nações que enfrentavam um cenário de guerra mundial no momento.', 'Posto isso, fica-se evidente que a prática esportiva é de extrema valia, em tempos (em) que a tecnologia tem ocupado boa parte do tempo do homem moderno, e que diferente do cenário de guerra vivido no século XIX, hoje presenciamos o antissocialíssimo e o interesse cada vez mais forte na vida virtual. O esporte proporciona a intercomunicação e a troca de valores culturais ainda essências para o desenvolvimento humano.', 'Portanto, analisado a necessidade da população da realização de uma prática esportiva, as prefeituras devem propor melhorias nas condições dos ginásios poliesportivos, condicionando aqueles que têm o objetivo de se profissionalizar em seu esporte, (.) também é considerável a manutenção das academias públicas existentes, e em parceria com a mídia, intensificar as campanhas de incentivo ao esporte e ao exercício físico, adquirindo qualidade de vida saudável.']",80,120,120,160,200,680
